doc_id	split	source_file	brat_txt_path	brat_ann_path	sentence_count	entity_count	sha256_txt	sha256_ann	has_released_text	source_title	doi	pmid	pmcid	wos_accession	publication_year	journal	abstract_licence_status	source_selection_query_id	source_metadata_status
17	train	0text17.txt	data/brat_core/train/0text17.txt	data/brat_core/train/0text17.ann	8	44	3dcd1b990ad7d3863f6230e4b760797e74bbe813f762099a6b147c9cb8023d1f	46f28ebdba5e92d822de85e500295583bf595add9249c06fb6e92acb0e2016ca	yes	Huntington's Disease Regulatory Science Consortium: Accelerating Medical Product Development.	10.3233/jhd-220533	35466945	not_available_in_current_archive	not_available_in_current_archive	2022	Journal of Huntington's disease	exclude_text	not_available_in_current_archive	high
24	train	0text24.txt	data/brat_core/train/0text24.txt	data/brat_core/train/0text24.ann	4	27	5eb52c07ed139f2b5ba7830a7f73ac693449ce11c53ed605fc702970c49181df	95d118e18b86d13c8ecba70046cb78b6743671b32ba46d99a1a85c7b6a480068	yes	Targeting autophagy in neurodegenerative diseases: From molecular mechanisms to clinical therapeutics.	10.1111/1440-1681.13500	33752254	PMC8204470	not_available_in_current_archive	2021	Clinical and experimental pharmacology & physiology	exclude_text	not_available_in_current_archive	high
26	train	0text26.txt	data/brat_core/train/0text26.txt	data/brat_core/train/0text26.ann	32	256	60a1092ea2ac09664b6a3f42fee200970fc3d5168cf64e215ef042296afd9d07	3bb577fea1724b3fb5de18a17f055235b9311be4d55b74debdacbe5db0b20f77	yes	Effects of exercise on sleep in neurodegenerative disease.	10.1016/j.nbd.2020.104859	32243913	PMC7497904	not_available_in_current_archive	2020	Neurobiology of disease	exclude_text	not_available_in_current_archive	high
27	test	0text27.txt	data/brat_core/train/0text27.txt	data/brat_core/train/0text27.ann	27	192	4856e5904ae56a2efb06f2b71f561fabc630bd2db260714108fd41e9b103db63	44bbae71711cab844f830499b7aee043ce749f474df3015d27983a385f8a5981	yes	Aptamer Detection of Neurodegenerative Disease Biomarkers	10.1007/978-1-0716-1712-0_15	not_available_in_current_archive	not_available_in_current_archive	not_available_in_current_archive	2021	Neuromethods	exclude_text	not_available_in_current_archive	high
28	test	0text28.txt	data/brat_core/train/0text28.txt	data/brat_core/train/0text28.ann	33	177	7b3835f12568b37b2fe6330a7d1e56a70fb9d74babef3f3ca391a585070cad58	d74f1ee6edcf5411fa6f8cf4d1f4cc63fec2bf051da5742827b1054a1c482213	yes	Management of Agitation in Huntington's Disease: A Review of the Literature.	10.7759/cureus.9748	32944463	PMC7489774	not_available_in_current_archive	2020	Cureus	include_text	not_available_in_current_archive	high
29	train	0text29.txt	data/brat_core/train/0text29.txt	data/brat_core/train/0text29.ann	24	138	3402272adbe0263772d389521c767a52a8381e9bca362586da5e084ae1bfff90	85e11710cef342720ca73b2dccf6d3ee3bc2bc841e0b2b614452e5b92284b2c2	yes	An Exploratory Study Investigating Autonomy in Huntington's Disease Gene Expansion Carriers.	10.3233/jhd-220540	35964199	not_available_in_current_archive	not_available_in_current_archive	2022	Journal of Huntington's disease	exclude_text	not_available_in_current_archive	high
33	train	0text33.txt	data/brat_core/train/0text33.txt	data/brat_core/train/0text33.ann	4	19	081338449bac80231ba5f7fb09ce776330c6a85cb41c3c0b94014f2ca90ced1d	65eefe0fb8c756f193a4f0514bb1f936cfde4c97657cb0974f53be66a052b3ba	yes	Hunting out the autophagic problem in Huntington disease.	10.1080/15548627.2022.2069438	35468035	PMC9673967	not_available_in_current_archive	2022	Autophagy	exclude_text	not_available_in_current_archive	high
36	train	0text36.txt	data/brat_core/train/0text36.txt	data/brat_core/train/0text36.ann	20	140	80ead280084c907296ab5c4447a0ce71798fb5455d7e6c17e23f55bde34da5a1	5a024446609c8b83cbe7724d8e3e23d44d2348829e77cd1af1193a8b817d55b9	yes	Peroxiredoxins in Neurodegenerative Diseases.	10.3390/antiox9121203	33265993	PMC7761365	not_available_in_current_archive	2020	Antioxidants (Basel, Switzerland)	include_text	not_available_in_current_archive	high
40	train	0text40.txt	data/brat_core/train/0text40.txt	data/brat_core/train/0text40.ann	12	82	75f7caa9788cb91896af5445e0cf0f345e45f7c74c67833eea16de863d2f7796	5c4f551b253428e1f998676fb0c8e44277f29e84f1136f376643924781671e41	yes	Autophagy in Neurodegenerative Diseases: A Hunter for Aggregates.	10.3390/ijms21093369	32397599	PMC7247013	not_available_in_current_archive	2020	International journal of molecular sciences	include_text	not_available_in_current_archive	high
45	train	0text45.txt	data/brat_core/train/0text45.txt	data/brat_core/train/0text45.ann	15	93	ff0b8798041920c498e731a5989e59a851bf544f9da7c99921ad747a15567b42	a0dec9a232f753a38865baf889d8f587473a0912ef3c40e16d96878d569334b2	yes	Prionoid Proteins in the Pathogenesis of Neurodegenerative Diseases.	10.3389/fnmol.2019.00271	31780895	PMC6861308	not_available_in_current_archive	2019	Frontiers in molecular neuroscience	include_text	not_available_in_current_archive	high
47	train	0text47.txt	data/brat_core/train/0text47.txt	data/brat_core/train/0text47.ann	15	117	3572f2af8aa4472b4fe59c6e7ba8f2a2ab9c56cd78c5a97fee4e14dbe1e15747	67b790c98a3b14c14ba48ee06e77683beb132abb9d2fb4f0516529b901393f6e	yes	Role of connexins in neurodegenerative diseases (Review).	10.3892/mmr.2021.12034	33760195	not_available_in_current_archive	not_available_in_current_archive	2021	Molecular medicine reports	exclude_text	not_available_in_current_archive	high
61	train	0text61.txt	data/brat_core/train/0text61.txt	data/brat_core/train/0text61.ann	5	22	898af659cd3ed906411a0d5cad9a5ed0fae8dd5b0036dac169618b4218220f0e	cf1a91d7ac0d545711937f4efb7dbfdf1d70ced302b19c31b016423979453370	yes	Proteotoxicity and Neurodegenerative Diseases.	10.3390/ijms21165646	32781742	PMC7460676	not_available_in_current_archive	2020	International journal of molecular sciences	include_text	not_available_in_current_archive	high
66	train	0text66.txt	data/brat_core/train/0text66.txt	data/brat_core/train/0text66.ann	8	44	ef37c244137423d00e95cdd00afa61aa34713e450af6b794407da976caa30bf7	3dc2001e209330f71b9bd055c86ac79ca48e50fe1a45ae0367b1a679498941f2	yes	DNA Methylation in Neurodegenerative Diseases	10.1134/s1022795419030062	not_available_in_current_archive	not_available_in_current_archive	not_available_in_current_archive	2019	Russian Journal of Genetics	exclude_text	not_available_in_current_archive	high
67	train	0text67.txt	data/brat_core/train/0text67.txt	data/brat_core/train/0text67.ann	22	150	eb87366bf54d40253091e87ba2824bc6ba17eb0083593639235ed972e403daf2	10054fe92a3ff3d54629f4f46fc0616e01c2fa41240fa9560df47206f2bb4360	yes	Structure and Dynamics of Large-Scale Cognitive Networks in Huntington's Disease.	10.1002/mds.28839	34752656	not_available_in_current_archive	not_available_in_current_archive	2022	Movement disorders : official journal of the Movement Disorder Society	include_text	not_available_in_current_archive	high
76	train	0text76.txt	data/brat_core/train/0text76.txt	data/brat_core/train/0text76.ann	48	336	f3c1bf0e90c7b6070e2f94dcbbe77aee81d4407f79c12850be94323fa56a7cec	77fe8a588a5d8c60f0386e870de302b69ae10dfcc10821b3adbe7eae2f131b6b	yes	Faecal microbiota transplant ameliorates gut dysbiosis and cognitive deficits in Huntington's disease mice.	10.1093/braincomms/fcac205	36035436	PMC9400176	not_available_in_current_archive	2022	Brain communications	include_text	not_available_in_current_archive	high
77	train	0text77.txt	data/brat_core/train/0text77.txt	data/brat_core/train/0text77.ann	8	72	ec83ed840e5f240db4a9dd1d1c6389fdcc61d60cdeb44b8c3d1640823c9371e3	8d1018a1ba7ff06931855c5b6a386756209f6255dfb560170faabb583bd4ecc7	yes	Emerging Perspectives on DNA Double-strand Breaks in Neurodegenerative Diseases.	10.2174/1570159x17666190726115623	31362659	PMC7057204	not_available_in_current_archive	2019	Current neuropharmacology	exclude_text	not_available_in_current_archive	high
78	train	0text78.txt	data/brat_core/train/0text78.txt	data/brat_core/train/0text78.ann	30	138	cb618cf79028ef1529dcb97ade638c564014bf34194fca8155cd4d27a86d5065	dd83b576e659d13eb74c48961e6a0bbdb94c651ae2d7b39343b9ab0746636764	yes	Tantalizing role of p53 molecular pathways and its coherent medications in neurodegenerative diseases.	10.1016/j.ijbiomac.2021.01.042	33440210	not_available_in_current_archive	not_available_in_current_archive	2021	International journal of biological macromolecules	exclude_text	not_available_in_current_archive	high
80	test	0text80.txt	data/brat_core/train/0text80.txt	data/brat_core/train/0text80.ann	20	160	665f48252fed31a06d37c283d27825dd517c31101f53259e7563c20376121f1d	836a9e6cb47ebe5b5436bc0341a062b5b8b8b591fc6ab9e987d3b1dee42b6045	yes	The Huntington's Disease Health Index: Initial Evaluation of a Disease-Specific Patient Reported Outcome Measure.	10.3233/jhd-210506	35527560	not_available_in_current_archive	not_available_in_current_archive	2022	Journal of Huntington's disease	exclude_text	not_available_in_current_archive	high
81	train	0text81.txt	data/brat_core/train/0text81.txt	data/brat_core/train/0text81.ann	24	192	53a124bef6d95d4e1d4508079f947b816d2f3dcf3b3cae5c327eaf0b93415c18	34bad3d321a8753e3d4a3ebc28f1f3efbaf1be35a3503493be54407d01025707	yes	Endocannabinoid Modulation in Neurodegenerative Diseases: In Pursuit of Certainty.	10.3390/biology11030440	35336814	PMC8945712	not_available_in_current_archive	2022	Biology	include_text	not_available_in_current_archive	high
84	val	0text84.txt	data/brat_core/train/0text84.txt	data/brat_core/train/0text84.ann	8	34	14dfdf09a22557b12030f3366634e452e69127747c8b1719e1113793353369f4	d4ddf684c4ba683d8b05d343030eb7173cfab9316d1d74a85838b23cddf00d86	yes	Huntington's disease: lessons from prion disorders.	10.1007/s00415-021-10418-8	33625583	not_available_in_current_archive	not_available_in_current_archive	2021	Journal of neurology	exclude_text	not_available_in_current_archive	high
86	val	0text86.txt	data/brat_core/train/0text86.txt	data/brat_core/train/0text86.ann	28	244	1b92686074b08f78726365821efdd6e90df548cdce330423f2c4a5d1f9291397	68ee9014c1cb5b7df7857dd850026121ed6edfc8fe8208bdecf59af5c12ebe1d	yes	Stem cells in animal models of Huntington disease: A systematic review.	10.1016/j.mcn.2019.01.006	30685323	not_available_in_current_archive	not_available_in_current_archive	2019	Molecular and cellular neurosciences	exclude_text	not_available_in_current_archive	high
90	train	0text90.txt	data/brat_core/train/0text90.txt	data/brat_core/train/0text90.ann	16	116	6b52308fdcd88acec5c667cce7eb68a4a8a34bc2eb313222884d82a3573b27b0	572ac4d9073aa8c9acf1e792373ececc6928447adba3421be886baed832faaa6	yes	Abnormal Mitochondrial Quality Control in Neurodegenerative Diseases.	10.3389/fncel.2020.00138	32655368	PMC7324542	not_available_in_current_archive	2020	Frontiers in cellular neuroscience	include_text	not_available_in_current_archive	high
97	train	0text97.txt	data/brat_core/train/0text97.txt	data/brat_core/train/0text97.ann	16	148	76f7dcc25715686785c51ad24fcb39bffdb55f70046490e83bcb72895716dd38	8260e9e95f753d684fd2587becf63ecb3fe67c1895c6d19f1265fcc06f3e1f83	yes	Cerebrospinal Fluid Levels of Prodynorphin-Derived Peptides are Decreased in Huntington's Disease.	10.1002/mds.28300	33006791	not_available_in_current_archive	not_available_in_current_archive	2021	Movement disorders : official journal of the Movement Disorder Society	include_text	not_available_in_current_archive	high
98	train	0text98.txt	data/brat_core/train/0text98.txt	data/brat_core/train/0text98.ann	12	56	900f9ca0573a90f6c9c7584329dbc0549f6511a01d6b49d4710b10514db5d8d2	931ac3398f70b338b8645aa0744462919f03581189ac8b6800c58014449768c2	yes	Assessment of Caregiver Burden in Huntington's Disease.	10.3233/jhd-180326	30594932	not_available_in_current_archive	not_available_in_current_archive	2019	Journal of Huntington's disease	exclude_text	not_available_in_current_archive	high
99	train	0text99.txt	data/brat_core/train/0text99.txt	data/brat_core/train/0text99.ann	14	150	4cb17a10202e8799cc94d023c379140072c41051d91545226d87e9abdaf5d845	de7897512d53d91042b1eb43d22707a4f63d6a4f041195df425ed615633eb8a8	yes	<i>In silico</i> designing of putative peptides for targeting pathological protein Htt in Huntington's disease.	10.1016/j.heliyon.2021.e06088	33659724	PMC7890153	not_available_in_current_archive	2021	Heliyon	exclude_text	not_available_in_current_archive	high
100	train	0text100.txt	data/brat_core/train/0text100.txt	data/brat_core/train/0text100.ann	12	82	9ac9a88687e96a80902ad73979adff8b0749628233cafcf4c3455cb39b67a4da	3a8329788e3d9bfe54c96b8235c5a4e73ac577a29b1ae45b6ef6fb86bcd49e98	yes	Striatal Circuit Development and Its Alterations in Huntington’s Disease	10.20944/preprints202005.0488.v1	not_available_in_current_archive	not_available_in_current_archive	not_available_in_current_archive	2020	not_available_in_current_archive	include_text	not_available_in_current_archive	high
101	train	0text101.txt	data/brat_core/train/0text101.txt	data/brat_core/train/0text101.ann	21	144	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	2140d30ab336f86f0e504873ab087749fa25332ca3befe72007bf24b8e856f85	yes	Mechanistic new insights of flavonols on neurodegenerative diseases.	10.1016/j.biopha.2021.111253	33545661	not_available_in_current_archive	not_available_in_current_archive	2021	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	include_text	not_available_in_current_archive	high
102	train	0text102.txt	data/brat_core/train/0text102.txt	data/brat_core/train/0text102.ann	28	208	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	fdcf5d6e12f575ea02abd8a8531d97dc98d4c84097dd224154daf223b92e0771	yes	Cerebral venous thrombosis, neutropenia and iron-deficiency anemia in Huntington disease.	10.2217/nmt-2020-0045	33703929	not_available_in_current_archive	not_available_in_current_archive	2021	Neurodegenerative disease management	exclude_text	not_available_in_current_archive	high
103	train	0text103.txt	data/brat_core/train/0text103.txt	data/brat_core/train/0text103.ann	12	136	7fcfcc25a1c9a5f04b2856d530c3ff549e03c1ef96922aaaeb0308299654e193	2db0392972fc9c64d881560062d00d956de2984b333bf6a50ebdd8aec03197a2	yes	Metalloproteinases and their tissue inhibitors in Alzheimer's disease and other neurodegenerative disorders.	10.1007/s00018-019-03178-2	31197405	PMC11105182	not_available_in_current_archive	2019	Cellular and molecular life sciences : CMLS	exclude_text	not_available_in_current_archive	high
104	test	0text104.txt	data/brat_core/train/0text104.txt	data/brat_core/train/0text104.ann	18	226	0c7b4b4d355e4fbe25779dcb929afc5abf8064927cd9d6ab11a138acf27bb1d4	4a759b4a4e901d61e38b56562a0fcaac33d09786333038e8575332b2c0bc36b4	yes	The Onset and Progression of Hippocampal Synaptic Plasticity Deficits in the Q175FDN Mouse Model of Huntington Disease.	10.3389/fncel.2019.00326	31379510	PMC6650530	not_available_in_current_archive	2019	Frontiers in cellular neuroscience	include_text	not_available_in_current_archive	high
105	train	0text105.txt	data/brat_core/train/0text105.txt	data/brat_core/train/0text105.ann	7	42	6e1697aba20edcaec01b4c45a67b7d7475f4e0c53199fce024d6f00f465b1e4d	ea89b32a34079e8bea41ad0bc79f6c908d9144661422b6e346e99e7d776954d7	yes	Berberine: A Promising Treatment for Neurodegenerative Diseases.	10.3389/fphar.2022.845591	35668943	PMC9164284	not_available_in_current_archive	2022	Frontiers in pharmacology	include_text	not_available_in_current_archive	high
106	train	0text106.txt	data/brat_core/train/0text106.txt	data/brat_core/train/0text106.ann	22	154	4b71bb1348c7c53e447ce21c51155cbecf2a2894a3e55c16860e9249e3137477	f04249120af130c8456edb5dd851be1014f0662bc99b7b6662a7792ae650bcea	yes	CRISPR/Cas9 Mediated Therapeutic Approach in Huntington's Disease.	10.1007/s12035-022-03150-5	36482283	PMC9734918	not_available_in_current_archive	2023	Molecular neurobiology	exclude_text	not_available_in_current_archive	high
107	train	0text107.txt	data/brat_core/train/0text107.txt	data/brat_core/train/0text107.ann	18	162	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	b35d25aa1f491b7eb698d20e679b4cee9c09a8d98cb604d78e23a6146d70af93	yes	Zebrafish and Medaka: Important Animal Models for Human Neurodegenerative Diseases.	10.3390/ijms221910766	34639106	PMC8509648	not_available_in_current_archive	2021	International journal of molecular sciences	include_text	not_available_in_current_archive	high
108	train	0text108.txt	data/brat_core/train/0text108.txt	data/brat_core/train/0text108.ann	18	134	8ff87b1e8f48a5c3e01e08a0a14060721b063d3d5e494a82843b8a9437798079	f3ea5790824c2d5b274fa8830290a6464f34caf1aadd89a865ddfe1c2e5e8299	yes	Characterization of Neurodevelopmental Abnormalities in iPSC-Derived Striatal Cultures from Patients with Huntington's Disease.	10.3233/jhd-180333	31381521	PMC6839479	not_available_in_current_archive	2019	Journal of Huntington's disease	exclude_text	not_available_in_current_archive	high
109	train	0text109.txt	data/brat_core/train/0text109.txt	data/brat_core/train/0text109.ann	8	30	caae0682a3812eb27dc926a96b33b274e4348a7f9bec9022e14c44ea0da7a59c	6b10c48126af025f800284c45ba904f6cd15db74c8712af481b592a6cd32d30e	yes	Long non-coding RNAs in neurodegenerative diseases.	10.1016/j.neuint.2021.105096	34118305	not_available_in_current_archive	not_available_in_current_archive	2021	Neurochemistry international	exclude_text	not_available_in_current_archive	high
110	train	0text110.txt	data/brat_core/train/0text110.txt	data/brat_core/train/0text110.ann	18	110	999db2b375b9507473e86713d9dc6b4ff98d042e17f0388f2ae3b9e897157b12	fca74e8d487c5cc8f76d54c6d4ba360523f86e335ddeca0eb130149bfcade6a8	yes	Physical Exercise-Induced Myokines in Neurodegenerative Diseases.	10.3390/ijms22115795	34071457	PMC8198301	not_available_in_current_archive	2021	International journal of molecular sciences	include_text	not_available_in_current_archive	high
111	train	0text111.txt	data/brat_core/train/0text111.txt	data/brat_core/train/0text111.ann	22	114	e2091358c2a4fb25195565d242c51b2462bedd18fb2bf343586946a8c9e716e4	78ad669d176ba2824c9e1ee9b106138a34baf6a740a5ae588f49366608edd210	yes	Huntington's Disease Progression and Caregiver Burden.	10.1159/000524146	35483333	not_available_in_current_archive	not_available_in_current_archive	2022	European neurology	exclude_text	not_available_in_current_archive	high
112	test	0text112.txt	data/brat_core/train/0text112.txt	data/brat_core/train/0text112.ann	14	78	ea1ba406f7c9c8757491e16bf85d25322112b3d6e9425a075fc7a25157ddb355	c9652a13d55a1090a4945f39d3e31a6069981943c384b2e424b81c22f569c6bc	yes	Mitophagy in Huntington's disease.	10.1016/j.neuint.2021.105147	34329735	not_available_in_current_archive	not_available_in_current_archive	2021	Neurochemistry international	exclude_text	not_available_in_current_archive	high
113	train	0text113.txt	data/brat_core/train/0text113.txt	data/brat_core/train/0text113.ann	18	144	0216a83e9333ed3c8da9ae52bc95918bae5b3b10d6ab7975e4b7f2e7dd27ba12	cda7c436ffe2d00cf5c8178c6ffcfc126a9fbc4c72eedd759db402bddb335713	yes	microRNA dysregulation in neurodegenerative diseases: A systematic review.	10.1016/j.pneurobio.2019.101664	31356849	not_available_in_current_archive	not_available_in_current_archive	2019	Progress in neurobiology	exclude_text	not_available_in_current_archive	high
114	train	0text114.txt	data/brat_core/train/0text114.txt	data/brat_core/train/0text114.ann	20	118	8475aeabee85784bcd9ea2ac4c6ba3d69d1730f6dd82e8265f1aa6fd7c1542df	eebd750d06f677749c7a527c685ee5b213b67c734cfc0703ea4f503a85e8fc1b	yes	Integrated multi-omics analysis of Huntington disease identifies pathways that modulate protein aggregation.	10.1242/dmm.049492	36052548	PMC10655815	not_available_in_current_archive	2022	Disease models & mechanisms	include_text	not_available_in_current_archive	high
115	test	0text115.txt	data/brat_core/train/0text115.txt	data/brat_core/train/0text115.ann	12	88	63b262b99f1f46d08e73cc34fbd7bc737b8fe6e89e4c7d13a3c96e6bd3182dda	84b3bb0482e30440b0ae4e7d5ce16f75bf892a02f023355f2357dec63f75431c	yes	Antioxidant Therapeutic Strategies in Neurodegenerative Diseases.	10.3390/ijms23169328	36012599	PMC9409201	not_available_in_current_archive	2022	International journal of molecular sciences	include_text	not_available_in_current_archive	high
116	test	0text116.txt	data/brat_core/train/0text116.txt	data/brat_core/train/0text116.ann	18	92	a75a4de21d5fd48c1df826d23d81dfa1e4828bedfafd03ef4ce4d6d61742119e	e0161643984230f9ce6c5dbda54b45c26ff065d62ff96d8848026e57e145e340	yes	Emerging therapeutics in Huntington's disease.	10.1080/14728214.2021.1962285	34319843	not_available_in_current_archive	not_available_in_current_archive	2021	Expert opinion on emerging drugs	exclude_text	not_available_in_current_archive	high
117	train	0text117.txt	data/brat_core/train/0text117.txt	data/brat_core/train/0text117.ann	12	64	b5e9f7c6de7921b7a51d56383ee158e87b2953e23417523b0e3cbbf8933fab73	1c9538c9c8f632df5e2d936eae3baf6f38be0f30a2fafd1610958cec3a3db290	yes	On the hunt for a cure: A guide to Huntington disease.	10.1097/01.jaa.0000735740.95438.60	33735136	not_available_in_current_archive	not_available_in_current_archive	2021	JAAPA : official journal of the American Academy of Physician Assistants	exclude_text	not_available_in_current_archive	high
118	val	0text118.txt	data/brat_core/train/0text118.txt	data/brat_core/train/0text118.ann	16	118	21313ac2a5027f274b89760a7d2c7073ef673d21e88f302f130a37af65662ad2	f88c92f8b9fd9309ed8d08a22efe40a185de376e2db2d9a7076cb7400a438397	yes	Recall and Recognition Discriminability in Parkinson's Disease and Huntington's Disease.	10.3233/jhd-190346	31476164	not_available_in_current_archive	not_available_in_current_archive	2019	Journal of Huntington's disease	exclude_text	not_available_in_current_archive	high
