doc_id	split	source_file	sha256_txt	match_confidence	match_reason	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision
67	train	0text67.txt	eb87366bf54d40253091e87ba2824bc6ba17eb0083593639235ed972e403daf2	high	abstract_phrase_match	Structure and Dynamics of Large-Scale Cognitive Networks in Huntington's Disease.	10.1002/mds.28839	34752656		2022	Movement disorders : official journal of the Movement Disorder Society	Wiley	N	cc by	True	hybrid	cc-by				http://creativecommons.org/licenses/by/4.0/	include_text
76	train	0text76.txt	f3c1bf0e90c7b6070e2f94dcbbe77aee81d4407f79c12850be94323fa56a7cec	high	abstract_prefix_exact_match	Faecal microbiota transplant ameliorates gut dysbiosis and cognitive deficits in Huntington's disease mice.	10.1093/braincomms/fcac205	36035436	PMC9400176	2022	Brain communications	Oxford University Press (OUP)	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
81	train	0text81.txt	53a124bef6d95d4e1d4508079f947b816d2f3dcf3b3cae5c327eaf0b93415c18	high	abstract_phrase_match	Endocannabinoid Modulation in Neurodegenerative Diseases: In Pursuit of Certainty.	10.3390/biology11030440	35336814	PMC8945712	2022	Biology	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
90	train	0text90.txt	6b52308fdcd88acec5c667cce7eb68a4a8a34bc2eb313222884d82a3573b27b0	high	abstract_prefix_exact_match	Abnormal Mitochondrial Quality Control in Neurodegenerative Diseases.	10.3389/fncel.2020.00138	32655368	PMC7324542	2020	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	False	closed					https://creativecommons.org/licenses/by/4.0/	include_text
97	train	0text97.txt	76f7dcc25715686785c51ad24fcb39bffdb55f70046490e83bcb72895716dd38	high	abstract_phrase_match	Cerebrospinal Fluid Levels of Prodynorphin-Derived Peptides are Decreased in Huntington's Disease.	10.1002/mds.28300	33006791		2021	Movement disorders : official journal of the Movement Disorder Society	Wiley	N	cc by	False	closed					http://creativecommons.org/licenses/by/4.0/	include_text
100	train	0text100.txt	9ac9a88687e96a80902ad73979adff8b0749628233cafcf4c3455cb39b67a4da	high	abstract_prefix_exact_match	Striatal Circuit Development and Its Alterations in Huntington’s Disease	10.20944/preprints202005.0488.v1			2020		MDPI AG	N	cc by	True	green	cc-by|other-oa				http://creativecommons.org/licenses/by/4.0	include_text
101	train	0text101.txt	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	high	abstract_phrase_match	Mechanistic new insights of flavonols on neurodegenerative diseases.	10.1016/j.biopha.2021.111253	33545661		2021	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	Elsevier BV	N	cc by	True	gold	cc-by				https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://creativecommons.org/licenses/by/4.0/	include_text
104	test	0text104.txt	0c7b4b4d355e4fbe25779dcb929afc5abf8064927cd9d6ab11a138acf27bb1d4	high	abstract_prefix_exact_match	The Onset and Progression of Hippocampal Synaptic Plasticity Deficits in the Q175FDN Mouse Model of Huntington Disease.	10.3389/fncel.2019.00326	31379510	PMC6650530	2019	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
105	train	0text105.txt	6e1697aba20edcaec01b4c45a67b7d7475f4e0c53199fce024d6f00f465b1e4d	high	abstract_prefix_exact_match	Berberine: A Promising Treatment for Neurodegenerative Diseases.	10.3389/fphar.2022.845591	35668943	PMC9164284	2022	Frontiers in pharmacology	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
107	train	0text107.txt	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	high	abstract_phrase_match	Zebrafish and Medaka: Important Animal Models for Human Neurodegenerative Diseases.	10.3390/ijms221910766	34639106	PMC8509648	2021	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
110	train	0text110.txt	999db2b375b9507473e86713d9dc6b4ff98d042e17f0388f2ae3b9e897157b12	high	abstract_prefix_exact_match	Physical Exercise-Induced Myokines in Neurodegenerative Diseases.	10.3390/ijms22115795	34071457	PMC8198301	2021	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
114	train	0text114.txt	8475aeabee85784bcd9ea2ac4c6ba3d69d1730f6dd82e8265f1aa6fd7c1542df	high	abstract_prefix_exact_match	Integrated multi-omics analysis of Huntington disease identifies pathways that modulate protein aggregation.	10.1242/dmm.049492	36052548	PMC10655815	2022	Disease models & mechanisms	The Company of Biologists	Y	cc by	True	gold	cc-by				http://creativecommons.org/licenses/by/4.0	include_text
115	test	0text115.txt	63b262b99f1f46d08e73cc34fbd7bc737b8fe6e89e4c7d13a3c96e6bd3182dda	high	abstract_prefix_exact_match	Antioxidant Therapeutic Strategies in Neurodegenerative Diseases.	10.3390/ijms23169328	36012599	PMC9409201	2022	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
121	val	0text121.txt	08830039a277d101fc28e720c43596357be6165ac8f2de15463dda4bf5a009ef	high	abstract_prefix_exact_match	Salivary Redox Biomarkers in Selected Neurodegenerative Diseases.	10.3390/jcm9020497	32059422	PMC7074092	2020	Journal of clinical medicine	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
122	train	0text122.txt	6522ebfa9be97e239d3ea776ff0862b55c4c282cc6f2983fe96e4a05837807d0	high	abstract_prefix_exact_match	Tubulin Cytoskeleton in Neurodegenerative Diseases-not Only Primary Tubulinopathies.	10.1007/s10571-022-01304-6	36352320	PMC10287795	2023	Cellular and molecular neurobiology	Springer Science and Business Media LLC	Y	cc by	True	hybrid	cc-by				https://creativecommons.org/licenses/by/4.0|https://creativecommons.org/licenses/by/4.0	include_text
123	train	0text123.txt	bdf2e2de08d0bafe7da5e82b234e5784071e0bcfa37db23b75fb414e5f18c8dd	high	abstract_prefix_exact_match	RhoA Signaling in Neurodegenerative Diseases.	10.3390/cells11091520	35563826	PMC9103838	2022	Cells	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
124	train	0text124.txt	d38380cfae63e8e5de0ebcb6aa518e76a3a5b2fd02660e456fe632b78f2a9e4f	high	abstract_prefix_exact_match	Role of Mitochondria in Neurodegenerative Diseases: From an Epigenetic Perspective.	10.3389/fcell.2021.688789	34513831	PMC8429841	2021	Frontiers in cell and developmental biology	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
131	test	0text131.txt	d8fcf1b19aae67f9019f7401e0c78f54ff14ff27d9229cafff9915f978190ca2	high	abstract_prefix_exact_match	Mitochondrial MicroRNAs in Aging and Neurodegenerative Diseases.	10.3390/cells9061345	32481587	PMC7349858	2020	Cells	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
135	val	0text135.txt	845de743f76bde33fd57d7f8bcc77394978880abf9857226519a799844c6d15a	high	abstract_prefix_exact_match	Alterations in transcranial sonography among Huntington's disease patients with psychiatric symptoms.	10.1007/s00702-020-02187-x	32285254	PMC7293686	2020	Journal of neural transmission (Vienna, Austria : 1996)	Springer Science and Business Media LLC	Y	cc by	True	hybrid	cc-by				https://creativecommons.org/licenses/by/4.0|https://creativecommons.org/licenses/by/4.0	include_text
137	train	0text137.txt	b5c16db29059c41611bf2d898682f795668cd37b1759da72a5c1377f0ecc9b0e	high	abstract_prefix_exact_match	Biochemical Pathways of Cellular Mechanosensing/Mechanotransduction and Their Role in Neurodegenerative Diseases Pathogenesis.	10.3390/cells11193093	36231055	PMC9563116	2022	Cells	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
138	train	0text138.txt	1d77ecb2d3d4d0adf93e2159100f73896b9d1059567a7ef91990ae9faa879486	high	abstract_prefix_exact_match	POSCAbilities: The Application of the Prion Organotypic Slice Culture Assay to Neurodegenerative Disease Research.	10.3390/biom10071079	32698402	PMC7407827	2020	Biomolecules	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
139	train	0text139.txt	da8b7f0dcfa868d29d998f43d86a4a353f9ef1a6b493634234e6629650f9f016	high	abstract_prefix_exact_match	MicroRNAs Dysregulation and Mitochondrial Dysfunction in Neurodegenerative Diseases.	10.3390/ijms21175986	32825273	PMC7504116	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
151	test	0text151.txt	e089ef8bb8e649e74ac5e026199345aa2d184fee222c43a406b1d5c7ec384746	high	abstract_prefix_exact_match	Protein Misfolding and ER Stress in Huntington's Disease.	10.3389/fmolb.2019.00020	31001537	PMC6456712	2019	Frontiers in molecular biosciences	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
152	train	0text152.txt	bc42990eb40bc55603813ef44f37063a4cfaf56b9f690397be7a45bcd772010e	high	abstract_prefix_exact_match	Diagnostic and Therapeutic Potential of Exosomes in Neurodegenerative Diseases.	10.3389/fnagi.2021.790863	34975460	PMC8717921	2021	Frontiers in aging neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
153	train	0text153.txt	44fc8eea6ec07b94dbb15b74f126c53ba3e8d50876d3573e856c767d065b21cc	high	abstract_prefix_exact_match	Neocortical morphometry in Huntington's disease: Indication of the coexistence of abnormal neurodevelopmental and neurodegenerative processes.	10.1016/j.nicl.2020.102211	32113174	PMC7044794	2020	NeuroImage. Clinical	Elsevier BV	Y	cc by	True	gold	cc-by|cc-by-sa				https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://creativecommons.org/licenses/by/4.0/	include_text
154	test	0text154.txt	da8d93247c242878b40c5443785ec56c7f1a4376657576241f96fc2522c9274b	high	abstract_prefix_exact_match	Sleep Quality and Related Clinical Manifestations in Huntington Disease.	10.3390/jpm12060864	35743649	PMC9224745	2022	Journal of personalized medicine	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
181	train	0text181.txt	8227d69a01d16f5858c07ff2210b36f46ca66ef01a81462e00457d2ad3d2e663	high	abstract_phrase_match	Huntington's Disease-An Outlook on the Interplay of the HTT Protein, Microtubules and Actin Cytoskeletal Components.	10.3390/cells9061514	32580314	PMC7348758	2020	Cells	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
182	train	0text182.txt	53083da0b61dee599d9364da7c2a9aa6f5a75e3af31aefbfd5dda15a3672923f	high	abstract_phrase_match	Intellectual enrichment and genetic modifiers of cognition and brain volume in Huntington's disease.	10.1093/braincomms/fcac279	36519153	PMC9732861	2022	Brain communications	Oxford University Press (OUP)	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
190	train	0text190.txt	bf681cf1290fb14f60c11c4cd7fc3999a3f08054f45bbf0daef4e967feb2aa40	high	openalex_abstract_prefix_exact_match	CRISPR-MEDIATED THERAPEUTICS: I. NEURODEGENERATIVE DISEASES	10.5281/zenodo.2564078			2019	Zenodo (CERN European Organization for Nuclear Research)		Y	other-oa	True	green	cc-by|other-oa					include_text
200	train	0text200.txt	e68ab96fa96b5a3311207c1da847f576d21c40de15f22abfc526808f62f8daf8	high	abstract_phrase_match	18F-FDG PET/CT: an unexpected case of Huntington's disease.	10.1186/s12883-019-1311-9	31043171	PMC6495557	2019	BMC neurology	Springer Science and Business Media LLC	Y	cc by	True	gold	cc-by|cc-by-sa				http://creativecommons.org/licenses/by/4.0/	include_text
202	train	0text202.txt	412a33f242d52c1aa0ee385d962d07db1b5a6d27dabed5e3e5b46a20aad0943f	high	abstract_prefix_exact_match	Zebrafish as a model organism for neurodegenerative disease.	10.3389/fnmol.2022.940484	36311026	PMC9606821	2022	Frontiers in molecular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
205	train	0text205.txt	8bc6210381afd8ba3b56109df9f41c2f2dd7c7bb71d1f3bd8d7aea7e898c543f	high	abstract_prefix_exact_match	Mechanisms of Ferroptosis and Emerging Links to the Pathology of Neurodegenerative Diseases.	10.3389/fnagi.2022.904152	35837484	PMC9273851	2022	Frontiers in aging neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
231	test	0text231.txt	293c443c63e4238f37823859af922d70e8bc7fcbecf60c335fe144125f515e61	high	abstract_prefix_exact_match	Dimethyl fumarate: A review of preclinical efficacy in models of neurodegenerative diseases.	10.1016/j.ejphar.2022.175025	35569547		2022	European journal of pharmacology	Elsevier BV	N	cc by	True	hybrid	cc-by				https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://creativecommons.org/licenses/by/4.0/	include_text
232	train	0text232.txt	e9390402638847a3ddbf405d7deb3301ac7a278e5616833adc99664a761b1025	high	abstract_prefix_exact_match	Neurodegenerative Diseases: Can Caffeine Be a Powerful Ally to Weaken Neuroinflammation?	10.3390/ijms232112958	36361750	PMC9658704	2022	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
234	test	0text234.txt	bb7ad7d1177ac373c550dc76a5357905dd2ab66749a5e86e340b067b51a3cd22	high	abstract_prefix_exact_match	Essential Oils as a Potential Neuroprotective Remedy for Age-Related Neurodegenerative Diseases: A Review.	10.3390/molecules26041107	33669787	PMC7922935	2021	Molecules (Basel, Switzerland)	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
252	train	0text252.txt	6e0d4eaa21080825fd8288b1007170cfb7c597e346b8ff2e8c80fdc6443d9391	high	abstract_prefix_exact_match	Disruption of Exocytosis in Sympathoadrenal Chromaffin Cells from Mouse Models of Neurodegenerative Diseases.	10.3390/ijms21061946	32178443	PMC7139653	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa|other-oa				https://creativecommons.org/licenses/by/4.0/	include_text
257	train	0text257.txt	c2ae5a42c120b8bd7b1c379cd94ab3532b24eac99d5266407e82fb9085833b93	high	abstract_prefix_exact_match	The Role of Microglia in the Development of Neurodegenerative Diseases.	10.3390/biomedicines9101449	34680566	PMC8533549	2021	Biomedicines	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
258	train	0text258.txt	17bae2c488c67ca1fe42567e778be372606f1f634630c84a6eae82bc8b784896	high	abstract_prefix_exact_match	Systematic Review: Quantitative Susceptibility Mapping (QSM) of Brain Iron Profile in Neurodegenerative Diseases.	10.3389/fnins.2021.618435	33679303	PMC7930077	2021	Frontiers in neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
261	train	0text261.txt	28059c3cc13c9b34c0f55e08ef0f491507b73aa765a6e9ef8686da666d81bcf6	high	abstract_prefix_exact_match	Implications of the Orb2 Amyloid Structure in Huntington's Disease.	10.3390/ijms21186910	32967102	PMC7555547	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
264	train	0text264.txt	05dfc810c94ff8dff355e45312ca97f7d0b45132df38cc66cf6b86d6d2a2c5a6	high	abstract_prefix_exact_match	Interplay between MicroRNAs and Oxidative Stress in Neurodegenerative Diseases.	10.3390/ijms20236055	31801298	PMC6929013	2019	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
265	train	0text265.txt	f482128b894e04720382efe57dad882faf68f231b575619dfccd273a4081420e	high	abstract_prefix_exact_match	Neurohormetic phytochemicals in the pathogenesis of neurodegenerative diseases.	10.1186/s12979-022-00292-x	35953850	PMC9367062	2022	Immunity & ageing : I & A	Springer Science and Business Media LLC	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0|https://creativecommons.org/licenses/by/4.0	include_text
267	train	0text267.txt	dd413fa134178d79282fdc7bda1192e2ab9515dfef8a22a827f8534c92c70cd8	high	abstract_prefix_exact_match	The role of altered protein acetylation in neurodegenerative disease.	10.3389/fnagi.2022.1025473	36688174	PMC9845957	2022	Frontiers in aging neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
269	train	0text269.txt	32060e9295e685cd338c5a5564059b04ed52fa3fbcfb0714660fa258daf9a152	high	abstract_prefix_exact_match	The Potential of Flavonoids for the Treatment of Neurodegenerative Diseases.	10.3390/ijms20123056	31234550	PMC6627573	2019	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
270	train	0text270.txt	4bd1e047c8de05299f091a8c4cf735815234552745452b9cce0aedc0e47a7ae8	high	abstract_prefix_exact_match	Transglutaminase 6 Is Colocalized and Interacts with Mutant Huntingtin in Huntington Disease Rodent Animal Models.	10.3390/ijms22168914	34445621	PMC8396294	2021	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
272	train	0text272.txt	04e59a347f65be44a2fdd463e9fe45fb65ff2fd41282a341d2cb5f8599f42acf	high	abstract_prefix_exact_match	Advances in Applying Computer-Aided Drug Design for Neurodegenerative Diseases.	10.3390/ijms22094688	33925236	PMC8124449	2021	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
274	test	0text274.txt	d09784152b9bb30a2e9acc17b0c65a414c9e19c18917735b7df3b450d764cb58	high	abstract_prefix_exact_match	The Common Cellular Events in the Neurodegenerative Diseases and the Associated Role of Endoplasmic Reticulum Stress.	10.3390/ijms23115894	35682574	PMC9180188	2022	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
276	train	0text276.txt	e9a2e0f0730cbbb87209483a347115e7e03f330faaae8eddf6e93cada3055d91	high	abstract_prefix_exact_match	TRIM family proteins: roles in proteostasis and neurodegenerative diseases.	10.1098/rsob.220098	35946309	PMC9364147	2022	Open biology	The Royal Society	Y	cc by	True	gold	cc-by				https://royalsociety.org/journals/ethics-policies/data-sharing-mining/	include_text
278	test	0text278.txt	8518b1a86c5787c0c81cdb00372114137c498640b3cf82662e876cd4cd74e04a	high	abstract_prefix_exact_match	Defective PTEN-induced kinase 1/Parkin mediated mitophagy and neurodegenerative diseases.	10.3389/fncel.2022.1031153	36339819	PMC9630469	2022	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
291	train	0text291.txt	f2e5142d2cfb051cf2f258f035d1efe9b61a834e948736cebd02c1035f1f00c0	high	abstract_prefix_exact_match	Emerging Roles of Exosomes in Huntington's Disease.	10.3390/ijms22084085	33920936	PMC8071291	2021	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
295	train	0text295.txt	edc6ef6fd3a38b218d77eddc6b95d3a1da2159f01d5516babd40b2457366e973	high	abstract_prefix_exact_match	Inflammatory changes in peripheral organs in the BACHD murine model of Huntington's disease.	10.1016/j.lfs.2019.116653	31302194		2019	Life sciences	Elsevier BV	N		True	green	cc-by				https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://www.elsevier.com/open-access/userlicense/1.0/	include_text
306	train	0text306.txt	0583f98e2e904eac03ec5b2eef86738b39cb52339e3c83957397bf62dc4490bc	high	abstract_prefix_exact_match	Exosomes: Innocent Bystanders or Critical Culprits in Neurodegenerative Diseases.	10.3389/fcell.2021.635104	34055771	PMC8155522	2021	Frontiers in cell and developmental biology	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa|other-oa				https://creativecommons.org/licenses/by/4.0/	include_text
312	val	0text312.txt	8e75a0f370835f6f4bc132a7506693648be218b2e67cad34e536c2dad2a9f9d9	high	abstract_prefix_exact_match	Bioinformatic analysis of a microRNA regulatory network in Huntington's disease.	10.31083/j.jin.2020.04.203	33378838		2020	Journal of integrative neuroscience	IMR Press	N	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
317	train	0text317.txt	949d7b73a02537c6791c4cdfdac0de2a180b5fa0f57e374a356c06cd25eade3b	high	abstract_prefix_exact_match	Blood Transcript Biomarkers Selected by Machine Learning Algorithm Classify Neurodegenerative Diseases including Alzheimer's Disease.	10.3390/biom12111592	36358942	PMC9687215	2022	Biomolecules	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
328	train	0text328.txt	34ed08205274bcfe49adbc2e6d560aad1cb9302ff14cb1b64629acba939fa032	high	abstract_prefix_exact_match	Small heat shock proteins in neurodegenerative diseases.	10.1007/s12192-020-01101-4	32323160	PMC7332613	2020	Cell stress & chaperones	Elsevier BV	Y	cc by	True	hybrid	cc-by				https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://creativecommons.org/licenses/by/4.0/	include_text
349	train	0text349.txt	90879b252216aae7e1a4098fa671ba74d2d21fce96544f7911725efa7e3f798d	high	abstract_prefix_exact_match	Inhibition of colony stimulating factor-1 receptor (CSF-1R) as a potential therapeutic strategy for neurodegenerative diseases: opportunities and challenges.	10.1007/s00018-022-04225-1	35366105	PMC8976111	2022	Cellular and molecular life sciences : CMLS	Springer Science and Business Media LLC	Y	cc by	True	hybrid	cc-by				https://creativecommons.org/licenses/by/4.0|https://creativecommons.org/licenses/by/4.0	include_text
364	train	0text364.txt	38a30df446e4aa4809da0912efb344b2d9eec66f1c5823321e9904a2edd772fd	high	abstract_prefix_exact_match	<i>In vivo</i> Direct Conversion of Astrocytes to Neurons Maybe a Potential Alternative Strategy for Neurodegenerative Diseases.	10.3389/fnagi.2021.689276	34408642	PMC8366583	2021	Frontiers in aging neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
367	val	0text367.txt	100c50f43269be21d46e5aa3c1daec7de1118cc0bd423d19c8c626f4cb7495b4	high	abstract_prefix_exact_match	Huntingtin-associated protein 1-associated intracellular trafficking in neurodegenerative diseases.	10.3389/fnagi.2023.1100395	36824265	PMC9941194	2023	Frontiers in aging neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text
