doc_id	sentence_id	split	sentence_index	document_start	document_end	sentence_char_length	sentence_sha256	normalized_document_sha256	normalization_policy	newline_policy	text_status
101	101_5	train	5	943	1109	166	f9cefef6d6ebdd1da4defb1b6da0b4e79249f74027e9741cd687c2e8dae0e9b0	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
101	101_6	train	6	729	942	213	5dc4de93731c09f60cf8792971f5e2b001b4523bafdab4fb0f01849d61718fdf	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
102	102_0	train	0	0	128	128	ea5166b240ad48ce7448f6c18b58ba80d43812e5cce1cd067a167b35bb2f2618	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
102	102_1	train	1	264	357	93	dd6c09a2998db7bcc2135c5e3f2a1a799ea7cae2145e35664bc156336f9f28b6	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
102	102_2	train	2	358	452	94	620682106218cb72d2552e3b69a9ac1dccb3ded9df3422c8ba83d410e5142621	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
102	102_3	train	3	453	662	209	91225dd030d64b2125692ac750a560baea391dbbeeacf8d709d693eac7b0db40	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
102	102_4	train	4	663	826	163	3c9c3a681918c96b73b56b8df0dee0547d2d4b4bc6c970620c092ecfbb875735	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
102	102_5	train	5	827	924	97	ac2f854eca2f0e7f69974b4d3e3879d7b78bd9ccb041787ef483c79580ccf3de	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
102	102_6	train	6	129	263	134	17ba754ad46bf6ac6840dd6890143a7feb189e815948ad07ac59e9d2bec37f94	598ec403fde96c14b8ac34476ac5667cb7c9f64c76596bc4849a35ad655a894b	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1066	1066_0	val	0	135	356	221	76cd2796b5dd911f6ccff69bfa0c5a89aa5478dd8cc630b1a4f684d89b3e3249	3dd4f005e648309c7ad71a2b0113a702d60b6bd236e58315e13cfef8c6cb29b2	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1066	1066_1	val	1	357	492	135	4b2c2b7c4333c0a66afdff2e8c54c1d769798b54b2b8a72669d1f5e4f8d5fb47	3dd4f005e648309c7ad71a2b0113a702d60b6bd236e58315e13cfef8c6cb29b2	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1066	1066_2	val	2	493	710	217	258751b7ef96ecbe9154bac3492b26e9f275cc9af4ab99b182d679dd9b29525d	3dd4f005e648309c7ad71a2b0113a702d60b6bd236e58315e13cfef8c6cb29b2	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1066	1066_3	val	3	711	1090	379	27150de33c47adbd619a3d16727bb476704d7b36a23c59372a4030c0268eec94	3dd4f005e648309c7ad71a2b0113a702d60b6bd236e58315e13cfef8c6cb29b2	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1066	1066_4	val	4	1091	1374	283	35af6a3d2c8402e40b69311ca0c8385e26608515a7e9c5c9f999c4fa08407490	3dd4f005e648309c7ad71a2b0113a702d60b6bd236e58315e13cfef8c6cb29b2	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1066	1066_5	val	5	0	134	134	27924ac80ba2d410456cedeb3fee59ef4f10e64032869d6442113dd6e000bf94	3dd4f005e648309c7ad71a2b0113a702d60b6bd236e58315e13cfef8c6cb29b2	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
107	107_0	train	0	0	92	92	7e9aabe492311858166253e80c76e099fd83c18d06d1dc397c9d2fb31bb8d301	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
107	107_1	train	1	401	703	302	80c762d3421906e6f95b667026db74ecab364563eb681754917d050f638b00e0	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
107	107_2	train	2	704	892	188	ee53db0a162fdc4b4082e58dc8d2f0afe59f6536ce6b6a7ae565774602bb32f9	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
107	107_3	train	3	893	1072	179	ce1780d05f3fbd3ece01beb9df9c14a8f4ee9b2f6614ed1e48fd51395a3138ad	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
107	107_4	train	4	1073	1200	127	4b5a7a7905d4572c1f9daad2695ec7f6073fff538d4da32f8906f7f7173d5b42	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
107	107_5	train	5	93	400	307	969f72bf6196dbe346ffa1bc9e7648fcf489b855d152caf0e3ff39cddeb0b83d	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
11	11_0	test	0	108	185	77	daad73e693d3ecc95c559107c9451a5cd05851d599fc03d4bb7119ec7aa62749	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_1	test	1	186	250	64	9149115e24ffc77f8e508fab87b58ff9f11d56f5d91c7ccd48606cf13e4e549f	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_2	test	2	379	460	81	53213a82d76552f2357c04fe15aa726303bbc2f205b22ba74742e8cbf793e17b	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_3	test	3	461	610	149	50a738ae951c1852b312991b71faa6f2436e5136a6521dac2621f4e890d6ff7e	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_4	test	4	611	702	91	ee9342f120b62f0cf9f41e7b5fb97f5d6bad5bade71f5d06f812664b33f89d42	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_5	test	5	703	794	91	1614d12a043c1ff56c4f5929c90b57024f6f69738ba5535672f63e8df799014c	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_6	test	6	795	935	140	f717f9c3c3454b3f3e1e9c4cde88b5c8b6fac0d2c6800d611e71c8e6d0f44001	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_7	test	7	936	994	58	e8860e82681741378e6225ccf3d8dfe3a0a67b71aba7ba0a7c3b110d5ecdca38	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_8	test	8	995	1090	95	21c51bcbcbbed7abe20d1a0b92f72b0a2643579287e999d5c0f01f3cdb3987b7	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_9	test	9	1091	1181	90	5563ecb03ca5f7b3c32064caa7fadf51bd91ce4665c078d5c942d1fe7402e4b0	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_10	test	10	1182	1275	93	76477b08a6bef5ae3462c8f707ccfa89b1038f4c1072444fce57914b81486d04	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_11	test	11	1276	1419	143	84cc1d3628e9958f37bc81bbdccbd889b33be08fb5df52693fbfd8a62be736b9	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_12	test	12	1420	1546	126	f59eeb656af46d05aa2331e14d2ad936c87c5d9d6c184e662050507ed8c94930	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_13	test	13	0	107	107	89d669e08b351a092ed6e318a3d17c7f8a1d9fe5818451662057b1f39639d2a1	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
11	11_14	test	14	251	378	127	c77c58a398f5fda6a28fb3ac81bc02213314fcd3837a1c532da049e7c8aaa95f	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_0	train	0	0	252	252	0db21da44df249f4503b3de4da4615d57ba0633ac1e00b322bf25fb343c6b9a1	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_1	train	1	253	333	80	52316228d99c610b18944e568d1e19580ca30d9e815a6ed5461901dd3a2558c6	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_2	train	2	334	461	127	d2efb7073cbcb81968a0d2eb67f40ea566b7e771fa087cbb145a23bc1817d581	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_3	train	3	462	646	184	1d55d042a3de15bd8766186d3c3f8930dde9ed947d2eff1d494f441a965ebc96	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_4	train	4	647	815	168	6e9b41f4be8f607f033df99b2b3dc2f3c44c8490d1165a5266005b90c9298ece	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_5	train	5	816	1133	317	83373867e11ac2371dbda387476a6b041187c3a1e43b99ef5c9ea29e85f94ec1	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_6	train	6	1134	1273	139	c097a5c46974fcff826519366c4490508bdeca37d545fb869e36c061821b7970	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_7	train	7	1274	1399	125	14811e41b72f3b5f49a0163787a79830c02922031da541d617f88baf5ef9ce7f	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_8	train	8	1400	1450	50	9eb3e198a2432726d2bcdee603d4a4e9b33612e24ce279dd256ce6aad511996a	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_9	train	9	1451	1574	123	ccdffb8d6a3ecf770beca8abefe6fdeb2361e95be6525885e7d85eda707b1dc4	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_10	train	10	1712	1858	146	630f1df4e3a1a178893e2e745ee292612659da8c8579b8e90e3189540ea48d8d	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_11	train	11	1859	1921	62	358e19b942e3d7f3ddaeaae5ecc7eb68fe4339c653d10d7e80733b89cb3b08db	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
119	119_12	train	12	1575	1711	136	132768c3ea10162e6c2e071994873d7192c92013fc7adb031a449386c6bc233d	420686650794a884640d9c090066bd424ad260fd73b99f07d7d23ae0c3d11ae0	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
12	12_0	train	0	0	192	192	b9527334c8d1c9373d842a0113a8752abe6f2fe6f753ab2c89fd4c305350d4ea	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
12	12_1	train	1	193	302	109	e37802e2e1c115726e5b22f04831744d3fefd56bd2db7e9ac57a2856265c2d6d	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
12	12_2	train	2	516	670	154	40ba7607e00ca66fcc19c0e34bfb73e85116d4d68206bcbc9f2d7384b0407df2	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
12	12_3	train	3	671	756	85	ef622e2d79d2256141c84f3fd677edbc6d4c632803abf4bf81047cebba393865	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
12	12_4	train	4	757	1056	299	a39ba136b60fed0c57adf8e30e678720b8efe20db54552a9b99377c4f752651e	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
12	12_5	train	5	1057	1142	85	2baebf358b0c9f0eb469e172ce21fecfbb1a9457832230cd926b2fa58734a5f7	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
12	12_6	train	6	1143	1328	185	96a71658eea73fc49562cbe339f37b241612475805a928fa61946e374f769022	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
12	12_7	train	7	303	515	212	aef7c4e16c6cf71ba0c948a3caa707edcaef8c5cfbb805af7c052b3cc49979b6	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
13	13_0	val	0	0	139	139	1993db684add09a3c8b3b48fbf17123b62ab8a8494ecacb2a3ab86e42fddeebc	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
13	13_1	val	1	140	264	124	8ed99ca505c806efe1d7822938176f740cf8cd17618918ae7d8c7cc40a253465	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
13	13_2	val	2	265	321	56	db59e8b9f443cda7bf83a48ae7ccb9834e6a3e8f61db9e9c382e6f3d0f032dff	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
13	13_3	val	3	322	517	195	84aa1db68e7420b838720911b2a96fb3ca9107ae7b8f924c4419cfdcae6fad67	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
13	13_4	val	4	790	1009	219	ef74a332a355b6ea69090f9167fedb9fff419a4c7c094365a21e0346309af192	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
